Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2017,Beet,Midland,000 Hectares,1.5
Area Farmed in June,2017,Vegetables for sale,State,000 Hectares,3.6
Area Farmed in June,2017,Vegetables for sale,Northern and Western,000 Hectares,0.2
Area Farmed in June,2017,Vegetables for sale,Border,000 Hectares,0.0
Area Farmed in June,2017,Vegetables for sale,West,000 Hectares,0.1
Area Farmed in June,2017,Vegetables for sale,Southern,000 Hectares,1.1
Area Farmed in June,2017,Vegetables for sale,Mid-West,000 Hectares,0.1
Area Farmed in June,2017,Vegetables for sale,South-East,000 Hectares,0.8
Area Farmed in June,2017,Vegetables for sale,South-West,000 Hectares,0.3
Area Farmed in June,2017,Vegetables for sale,Eastern and Midland,000 Hectares,2.3
Area Farmed in June,2017,Vegetables for sale,Dublin and Mid-East,000 Hectares,2.1
Area Farmed in June,2017,Vegetables for sale,Midland,000 Hectares,0.2
Area Farmed in June,2017,Fruit,State,000 Hectares,0.8
Area Farmed in June,2017,Fruit,Northern and Western,000 Hectares,0.1
Area Farmed in June,2017,Fruit,Border,000 Hectares,0.0
Area Farmed in June,2017,Fruit,West,000 Hectares,0.0
Area Farmed in June,2017,Fruit,Southern,000 Hectares,0.4
Area Farmed in June,2017,Fruit,Mid-West,000 Hectares,0.1
Area Farmed in June,2017,Fruit,South-East,000 Hectares,0.3
Area Farmed in June,2017,Fruit,South-West,000 Hectares,0.1
Area Farmed in June,2017,Fruit,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2017,Fruit,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2017,Fruit,Midland,000 Hectares,0.0
Area Farmed in June,2017,"Nurseries, horticulture etc.",State,000 Hectares,0.5
Area Farmed in June,2017,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,0.0
Area Farmed in June,2017,"Nurseries, horticulture etc.",Border,000 Hectares,0.0
Area Farmed in June,2017,"Nurseries, horticulture etc.",West,000 Hectares,0.0
Area Farmed in June,2017,"Nurseries, horticulture etc.",Southern,000 Hectares,0.4
Area Farmed in June,2017,"Nurseries, horticulture etc.",Mid-West,000 Hectares,0.0
Area Farmed in June,2017,"Nurseries, horticulture etc.",South-East,000 Hectares,0.2
Area Farmed in June,2017,"Nurseries, horticulture etc.",South-West,000 Hectares,0.1
Area Farmed in June,2017,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,0.1
Area Farmed in June,2017,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,0.1
Area Farmed in June,2017,"Nurseries, horticulture etc.",Midland,000 Hectares,0.0
Area Farmed in June,2017,Other crops,State,000 Hectares,28.1
Area Farmed in June,2017,Other crops,Northern and Western,000 Hectares,8.1
Area Farmed in June,2017,Other crops,Border,000 Hectares,2.9
Area Farmed in June,2017,Other crops,West,000 Hectares,5.2
Area Farmed in June,2017,Other crops,Southern,000 Hectares,10.8
Area Farmed in June,2017,Other crops,Mid-West,000 Hectares,2.6
Area Farmed in June,2017,Other crops,South-East,000 Hectares,5.3
Area Farmed in June,2017,Other crops,South-West,000 Hectares,2.9
Area Farmed in June,2017,Other crops,Eastern and Midland,000 Hectares,9.2
Area Farmed in June,2017,Other crops,Dublin and Mid-East,000 Hectares,5.1
Area Farmed in June,2017,Other crops,Midland,000 Hectares,4.0
Area Farmed in June,2017,Total cereals,State,000 Hectares,272.4
Area Farmed in June,2017,Total cereals,Northern and Western,000 Hectares,9.3
Area Farmed in June,2017,Total cereals,Border,000 Hectares,5.1
Area Farmed in June,2017,Total cereals,West,000 Hectares,4.2
Area Farmed in June,2017,Total cereals,Southern,000 Hectares,138.7
Area Farmed in June,2017,Total cereals,Mid-West,000 Hectares,22.3
Area Farmed in June,2017,Total cereals,South-East,000 Hectares,77.8
Area Farmed in June,2017,Total cereals,South-West,000 Hectares,38.6
Area Farmed in June,2017,Total cereals,Eastern and Midland,000 Hectares,124.5
Area Farmed in June,2017,Total cereals,Dublin and Mid-East,000 Hectares,94.8
Area Farmed in June,2017,Total cereals,Midland,000 Hectares,29.7
Area Farmed in June,2017,Total wheat,State,000 Hectares,67.0
Area Farmed in June,2017,Total wheat,Northern and Western,000 Hectares,1.0
Area Farmed in June,2017,Total wheat,Border,000 Hectares,0.7
Area Farmed in June,2017,Total wheat,West,000 Hectares,0.3
Area Farmed in June,2017,Total wheat,Southern,000 Hectares,22.9
Area Farmed in June,2017,Total wheat,Mid-West,000 Hectares,4.6
Area Farmed in June,2017,Total wheat,South-East,000 Hectares,12.2
Area Farmed in June,2017,Total wheat,South-West,000 Hectares,6.1
Area Farmed in June,2017,Total wheat,Eastern and Midland,000 Hectares,43.1
Area Farmed in June,2017,Total wheat,Dublin and Mid-East,000 Hectares,38.0
Area Farmed in June,2017,Total wheat,Midland,000 Hectares,5.1
Area Farmed in June,2017,Winter wheat,State,000 Hectares,60.3
Area Farmed in June,2017,Winter wheat,Northern and Western,000 Hectares,0.7
Area Farmed in June,2017,Winter wheat,Border,000 Hectares,0.5
Area Farmed in June,2017,Winter wheat,West,000 Hectares,0.2
Area Farmed in June,2017,Winter wheat,Southern,000 Hectares,18.9
Area Farmed in June,2017,Winter wheat,Mid-West,000 Hectares,4.0
Area Farmed in June,2017,Winter wheat,South-East,000 Hectares,10.6
Area Farmed in June,2017,Winter wheat,South-West,000 Hectares,4.3
Area Farmed in June,2017,Winter wheat,Eastern and Midland,000 Hectares,40.6
Area Farmed in June,2017,Winter wheat,Dublin and Mid-East,000 Hectares,35.9
Area Farmed in June,2017,Winter wheat,Midland,000 Hectares,4.7
Area Farmed in June,2017,Spring wheat,State,000 Hectares,6.8
Area Farmed in June,2017,Spring wheat,Northern and Western,000 Hectares,0.3
Area Farmed in June,2017,Spring wheat,Border,000 Hectares,0.2
Area Farmed in June,2017,Spring wheat,West,000 Hectares,0.1
Area Farmed in June,2017,Spring wheat,Southern,000 Hectares,4.0
Area Farmed in June,2017,Spring wheat,Mid-West,000 Hectares,0.6
Area Farmed in June,2017,Spring wheat,South-East,000 Hectares,1.6
Area Farmed in June,2017,Spring wheat,South-West,000 Hectares,1.8
Area Farmed in June,2017,Spring wheat,Eastern and Midland,000 Hectares,2.4
Area Farmed in June,2017,Spring wheat,Dublin and Mid-East,000 Hectares,2.0
Area Farmed in June,2017,Spring wheat,Midland,000 Hectares,0.4
Area Farmed in June,2017,Total oats,State,000 Hectares,24.4
Area Farmed in June,2017,Total oats,Northern and Western,000 Hectares,1.4
Area Farmed in June,2017,Total oats,Border,000 Hectares,0.7
Area Farmed in June,2017,Total oats,West,000 Hectares,0.7
Area Farmed in June,2017,Total oats,Southern,000 Hectares,12.5
Area Farmed in June,2017,Total oats,Mid-West,000 Hectares,2.2
Area Farmed in June,2017,Total oats,South-East,000 Hectares,7.3
Area Farmed in June,2017,Total oats,South-West,000 Hectares,3.1
Area Farmed in June,2017,Total oats,Eastern and Midland,000 Hectares,10.5
Area Farmed in June,2017,Total oats,Dublin and Mid-East,000 Hectares,8.1
Area Farmed in June,2017,Total oats,Midland,000 Hectares,2.3
Area Farmed in June,2017,Winter oats,State,000 Hectares,14.4
Area Farmed in June,2017,Winter oats,Northern and Western,000 Hectares,0.3
Area Farmed in June,2017,Winter oats,Border,000 Hectares,0.2
Area Farmed in June,2017,Winter oats,West,000 Hectares,0.1
Area Farmed in June,2017,Winter oats,Southern,000 Hectares,6.8
Area Farmed in June,2017,Winter oats,Mid-West,000 Hectares,1.5
Area Farmed in June,2017,Winter oats,South-East,000 Hectares,4.0
Area Farmed in June,2017,Winter oats,South-West,000 Hectares,1.3
Area Farmed in June,2017,Winter oats,Eastern and Midland,000 Hectares,7.3
Area Farmed in June,2017,Winter oats,Dublin and Mid-East,000 Hectares,6.0
Area Farmed in June,2017,Winter oats,Midland,000 Hectares,1.4
Area Farmed in June,2017,Spring oats,State,000 Hectares,10.0
Area Farmed in June,2017,Spring oats,Northern and Western,000 Hectares,1.1
Area Farmed in June,2017,Spring oats,Border,000 Hectares,0.5
Area Farmed in June,2017,Spring oats,West,000 Hectares,0.6
Area Farmed in June,2017,Spring oats,Southern,000 Hectares,5.7
Area Farmed in June,2017,Spring oats,Mid-West,000 Hectares,0.8
Area Farmed in June,2017,Spring oats,South-East,000 Hectares,3.2
Area Farmed in June,2017,Spring oats,South-West,000 Hectares,1.7
Area Farmed in June,2017,Spring oats,Eastern and Midland,000 Hectares,3.2
Area Farmed in June,2017,Spring oats,Dublin and Mid-East,000 Hectares,2.2
Area Farmed in June,2017,Spring oats,Midland,000 Hectares,1.0
Area Farmed in June,2017,Total barley,State,000 Hectares,180.2
Area Farmed in June,2017,Total barley,Northern and Western,000 Hectares,6.8
Area Farmed in June,2017,Total barley,Border,000 Hectares,3.6
Area Farmed in June,2017,Total barley,West,000 Hectares,3.1
Area Farmed in June,2017,Total barley,Southern,000 Hectares,102.9
Area Farmed in June,2017,Total barley,Mid-West,000 Hectares,15.4
Area Farmed in June,2017,Total barley,South-East,000 Hectares,58.1
Area Farmed in June,2017,Total barley,South-West,000 Hectares,29.4
Area Farmed in June,2017,Total barley,Eastern and Midland,000 Hectares,70.5
Area Farmed in June,2017,Total barley,Dublin and Mid-East,000 Hectares,48.4
Area Farmed in June,2017,Total barley,Midland,000 Hectares,22.1
Area Farmed in June,2017,Winter barley,State,000 Hectares,65.0
Area Farmed in June,2017,Winter barley,Northern and Western,000 Hectares,2.5
Area Farmed in June,2017,Winter barley,Border,000 Hectares,1.6
Area Farmed in June,2017,Winter barley,West,000 Hectares,0.9
Area Farmed in June,2017,Winter barley,Southern,000 Hectares,32.4
Area Farmed in June,2017,Winter barley,Mid-West,000 Hectares,7.9
Area Farmed in June,2017,Winter barley,South-East,000 Hectares,13.3
Area Farmed in June,2017,Winter barley,South-West,000 Hectares,11.2
Area Farmed in June,2017,Winter barley,Eastern and Midland,000 Hectares,30.2
Area Farmed in June,2017,Winter barley,Dublin and Mid-East,000 Hectares,23.4
Area Farmed in June,2017,Winter barley,Midland,000 Hectares,6.8
Area Farmed in June,2017,Spring barley,State,000 Hectares,115.2
Area Farmed in June,2017,Spring barley,Northern and Western,000 Hectares,4.3
Area Farmed in June,2017,Spring barley,Border,000 Hectares,2.0
Area Farmed in June,2017,Spring barley,West,000 Hectares,2.3
Area Farmed in June,2017,Spring barley,Southern,000 Hectares,70.5
Area Farmed in June,2017,Spring barley,Mid-West,000 Hectares,7.5
Area Farmed in June,2017,Spring barley,South-East,000 Hectares,44.8
Area Farmed in June,2017,Spring barley,South-West,000 Hectares,18.2
Area Farmed in June,2017,Spring barley,Eastern and Midland,000 Hectares,40.3
Area Farmed in June,2017,Spring barley,Dublin and Mid-East,000 Hectares,25.1
Area Farmed in June,2017,Spring barley,Midland,000 Hectares,15.3
Area Farmed in June,2017,Other cereals,State,000 Hectares,0.8
Area Farmed in June,2017,Other cereals,Northern and Western,000 Hectares,0.1
Area Farmed in June,2017,Other cereals,Border,000 Hectares,0.1
Area Farmed in June,2017,Other cereals,West,000 Hectares,0.0
Area Farmed in June,2017,Other cereals,Southern,000 Hectares,0.3
Area Farmed in June,2017,Other cereals,Mid-West,000 Hectares,0.0
Area Farmed in June,2017,Other cereals,South-East,000 Hectares,0.2
Area Farmed in June,2017,Other cereals,South-West,000 Hectares,0.0
Area Farmed in June,2017,Other cereals,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2017,Other cereals,Dublin and Mid-East,000 Hectares,0.2
Area Farmed in June,2017,Other cereals,Midland,000 Hectares,0.2
Area Farmed in June,2017,Rough grazing in use,State,000 Hectares,520.2
Area Farmed in June,2017,Rough grazing in use,Northern and Western,000 Hectares,240.3
Area Farmed in June,2017,Rough grazing in use,Border,000 Hectares,120.3
Area Farmed in June,2017,Rough grazing in use,West,000 Hectares,120.0
Area Farmed in June,2017,Rough grazing in use,Southern,000 Hectares,197.7
Area Farmed in June,2017,Rough grazing in use,Mid-West,000 Hectares,46.8
Area Farmed in June,2017,Rough grazing in use,South-East,000 Hectares,22.0
Area Farmed in June,2017,Rough grazing in use,South-West,000 Hectares,128.9
Area Farmed in June,2017,Rough grazing in use,Eastern and Midland,000 Hectares,82.3
Area Farmed in June,2017,Rough grazing in use,Dublin and Mid-East,000 Hectares,36.7
Area Farmed in June,2017,Rough grazing in use,Midland,000 Hectares,45.6
Area Farmed in June,2018,Area farmed (AAU),State,000 Hectares,4516.3
Area Farmed in June,2018,Area farmed (AAU),Northern and Western,000 Hectares,1513.8
Area Farmed in June,2018,Area farmed (AAU),Border,000 Hectares,670.0
Area Farmed in June,2018,Area farmed (AAU),West,000 Hectares,843.8
Area Farmed in June,2018,Area farmed (AAU),Southern,000 Hectares,2024.0
Area Farmed in June,2018,Area farmed (AAU),Mid-West,000 Hectares,741.4
Area Farmed in June,2018,Area farmed (AAU),South-East,000 Hectares,490.2
Area Farmed in June,2018,Area farmed (AAU),South-West,000 Hectares,792.4
Area Farmed in June,2018,Area farmed (AAU),Eastern and Midland,000 Hectares,978.5
Area Farmed in June,2018,Area farmed (AAU),Dublin and Mid-East,000 Hectares,511.5
Area Farmed in June,2018,Area farmed (AAU),Midland,000 Hectares,467.0
Area Farmed in June,2018,Crops and pasture,State,000 Hectares,3992.2
Area Farmed in June,2018,Crops and pasture,Northern and Western,000 Hectares,1271.1
Area Farmed in June,2018,Crops and pasture,Border,000 Hectares,548.3
Area Farmed in June,2018,Crops and pasture,West,000 Hectares,722.7
Area Farmed in June,2018,Crops and pasture,Southern,000 Hectares,1824.2
Area Farmed in June,2018,Crops and pasture,Mid-West,000 Hectares,693.9
Area Farmed in June,2018,Crops and pasture,South-East,000 Hectares,468.0
Area Farmed in June,2018,Crops and pasture,South-West,000 Hectares,662.4
Area Farmed in June,2018,Crops and pasture,Eastern and Midland,000 Hectares,896.9
Area Farmed in June,2018,Crops and pasture,Dublin and Mid-East,000 Hectares,472.8
Area Farmed in June,2018,Crops and pasture,Midland,000 Hectares,424.0
Area Farmed in June,2018,Pasture,State,000 Hectares,2378.7
Area Farmed in June,2018,Pasture,Northern and Western,000 Hectares,877.1
Area Farmed in June,2018,Pasture,Border,000 Hectares,372.6
Area Farmed in June,2018,Pasture,West,000 Hectares,504.4
Area Farmed in June,2018,Pasture,Southern,000 Hectares,1023.0
Area Farmed in June,2018,Pasture,Mid-West,000 Hectares,412.5
Area Farmed in June,2018,Pasture,South-East,000 Hectares,229.7
Area Farmed in June,2018,Pasture,South-West,000 Hectares,380.8
Area Farmed in June,2018,Pasture,Eastern and Midland,000 Hectares,478.6
Area Farmed in June,2018,Pasture,Dublin and Mid-East,000 Hectares,242.6
Area Farmed in June,2018,Pasture,Midland,000 Hectares,236.0
Area Farmed in June,2018,Hay,State,000 Hectares,191.9
Area Farmed in June,2018,Hay,Northern and Western,000 Hectares,56.4
Area Farmed in June,2018,Hay,Border,000 Hectares,24.9
Area Farmed in June,2018,Hay,West,000 Hectares,31.6
Area Farmed in June,2018,Hay,Southern,000 Hectares,86.3
Area Farmed in June,2018,Hay,Mid-West,000 Hectares,54.9
Area Farmed in June,2018,Hay,South-East,000 Hectares,15.5
Area Farmed in June,2018,Hay,South-West,000 Hectares,15.8
Area Farmed in June,2018,Hay,Eastern and Midland,000 Hectares,49.2
Area Farmed in June,2018,Hay,Dublin and Mid-East,000 Hectares,24.4
Area Farmed in June,2018,Hay,Midland,000 Hectares,24.8
Area Farmed in June,2018,Grass silage,State,000 Hectares,1064.5
Area Farmed in June,2018,Grass silage,Northern and Western,000 Hectares,318.3
Area Farmed in June,2018,Grass silage,Border,000 Hectares,141.4
Area Farmed in June,2018,Grass silage,West,000 Hectares,176.9
Area Farmed in June,2018,Grass silage,Southern,000 Hectares,537.4
Area Farmed in June,2018,Grass silage,Mid-West,000 Hectares,198.9
Area Farmed in June,2018,Grass silage,South-East,000 Hectares,122.9
Area Farmed in June,2018,Grass silage,South-West,000 Hectares,215.6
Area Farmed in June,2018,Grass silage,Eastern and Midland,000 Hectares,208.8
Area Farmed in June,2018,Grass silage,Dublin and Mid-East,000 Hectares,83.4
Area Farmed in June,2018,Grass silage,Midland,000 Hectares,125.4
Area Farmed in June,2018,"Total crops, fruit and horticulture",State,000 Hectares,357.0
Area Farmed in June,2018,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,19.3
Area Farmed in June,2018,"Total crops, fruit and horticulture",Border,000 Hectares,9.5
Area Farmed in June,2018,"Total crops, fruit and horticulture",West,000 Hectares,9.8
Area Farmed in June,2018,"Total crops, fruit and horticulture",Southern,000 Hectares,177.5
Area Farmed in June,2018,"Total crops, fruit and horticulture",Mid-West,000 Hectares,27.5
Area Farmed in June,2018,"Total crops, fruit and horticulture",South-East,000 Hectares,99.9
Area Farmed in June,2018,"Total crops, fruit and horticulture",South-West,000 Hectares,50.1
Area Farmed in June,2018,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,160.2
Area Farmed in June,2018,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,122.4
Area Farmed in June,2018,"Total crops, fruit and horticulture",Midland,000 Hectares,37.8
Area Farmed in June,2018,Beans and peas,State,000 Hectares,8.5
Area Farmed in June,2018,Beans and peas,Northern and Western,000 Hectares,0.0
Area Farmed in June,2018,Beans and peas,Border,000 Hectares,0.0
Area Farmed in June,2018,Beans and peas,West,000 Hectares,0.0
Area Farmed in June,2018,Beans and peas,Southern,000 Hectares,4.2
Area Farmed in June,2018,Beans and peas,Mid-West,000 Hectares,0.4
Area Farmed in June,2018,Beans and peas,South-East,000 Hectares,2.9
Area Farmed in June,2018,Beans and peas,South-West,000 Hectares,0.9
Area Farmed in June,2018,Beans and peas,Eastern and Midland,000 Hectares,4.3
Area Farmed in June,2018,Beans and peas,Dublin and Mid-East,000 Hectares,3.7
Area Farmed in June,2018,Beans and peas,Midland,000 Hectares,0.6
Area Farmed in June,2018,Oilseed rape,State,000 Hectares,10.6
Area Farmed in June,2018,Oilseed rape,Northern and Western,000 Hectares,0.1
Area Farmed in June,2018,Oilseed rape,Border,000 Hectares,0.0
Area Farmed in June,2018,Oilseed rape,West,000 Hectares,0.0
Area Farmed in June,2018,Oilseed rape,Southern,000 Hectares,3.6
Area Farmed in June,2018,Oilseed rape,Mid-West,000 Hectares,0.7
Area Farmed in June,2018,Oilseed rape,South-East,000 Hectares,2.5
Area Farmed in June,2018,Oilseed rape,South-West,000 Hectares,0.4
Area Farmed in June,2018,Oilseed rape,Eastern and Midland,000 Hectares,6.9
Area Farmed in June,2018,Oilseed rape,Dublin and Mid-East,000 Hectares,5.8
Area Farmed in June,2018,Oilseed rape,Midland,000 Hectares,1.1
Area Farmed in June,2018,Arable silage,State,000 Hectares,3.3
Area Farmed in June,2018,Arable silage,Northern and Western,000 Hectares,0.7
Area Farmed in June,2018,Arable silage,Border,000 Hectares,0.5
Area Farmed in June,2018,Arable silage,West,000 Hectares,0.2
Area Farmed in June,2018,Arable silage,Southern,000 Hectares,1.7
Area Farmed in June,2018,Arable silage,Mid-West,000 Hectares,0.2
Area Farmed in June,2018,Arable silage,South-East,000 Hectares,0.7
Area Farmed in June,2018,Arable silage,South-West,000 Hectares,0.8
Area Farmed in June,2018,Arable silage,Eastern and Midland,000 Hectares,0.9
Area Farmed in June,2018,Arable silage,Dublin and Mid-East,000 Hectares,0.4
Area Farmed in June,2018,Arable silage,Midland,000 Hectares,0.5
Area Farmed in June,2018,Maize silage,State,000 Hectares,17.8
Area Farmed in June,2018,Maize silage,Northern and Western,000 Hectares,0.3
Area Farmed in June,2018,Maize silage,Border,000 Hectares,0.2
Area Farmed in June,2018,Maize silage,West,000 Hectares,0.1
Area Farmed in June,2018,Maize silage,Southern,000 Hectares,11.1
Area Farmed in June,2018,Maize silage,Mid-West,000 Hectares,1.4
Area Farmed in June,2018,Maize silage,South-East,000 Hectares,5.1
Area Farmed in June,2018,Maize silage,South-West,000 Hectares,4.7
Area Farmed in June,2018,Maize silage,Eastern and Midland,000 Hectares,6.3
Area Farmed in June,2018,Maize silage,Dublin and Mid-East,000 Hectares,5.3
Area Farmed in June,2018,Maize silage,Midland,000 Hectares,1.0
Area Farmed in June,2018,Fodder rape and kale,State,000 Hectares,1.5
Area Farmed in June,2018,Fodder rape and kale,Northern and Western,000 Hectares,0.2
Area Farmed in June,2018,Fodder rape and kale,Border,000 Hectares,0.0
Area Farmed in June,2018,Fodder rape and kale,West,000 Hectares,0.2
Area Farmed in June,2018,Fodder rape and kale,Southern,000 Hectares,0.6
Area Farmed in June,2018,Fodder rape and kale,Mid-West,000 Hectares,0.1
Area Farmed in June,2018,Fodder rape and kale,South-East,000 Hectares,0.3
Area Farmed in June,2018,Fodder rape and kale,South-West,000 Hectares,0.2
Area Farmed in June,2018,Fodder rape and kale,Eastern and Midland,000 Hectares,0.6
Area Farmed in June,2018,Fodder rape and kale,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2018,Fodder rape and kale,Midland,000 Hectares,0.4
Area Farmed in June,2018,Potatoes,State,000 Hectares,8.2
Area Farmed in June,2018,Potatoes,Northern and Western,000 Hectares,0.9
Area Farmed in June,2018,Potatoes,Border,000 Hectares,0.8
Area Farmed in June,2018,Potatoes,West,000 Hectares,0.0
Area Farmed in June,2018,Potatoes,Southern,000 Hectares,2.9
Area Farmed in June,2018,Potatoes,Mid-West,000 Hectares,0.2
Area Farmed in June,2018,Potatoes,South-East,000 Hectares,1.9
Area Farmed in June,2018,Potatoes,South-West,000 Hectares,0.7
Area Farmed in June,2018,Potatoes,Eastern and Midland,000 Hectares,4.5
Area Farmed in June,2018,Potatoes,Dublin and Mid-East,000 Hectares,4.3
Area Farmed in June,2018,Potatoes,Midland,000 Hectares,0.1
Area Farmed in June,2018,Turnips,State,000 Hectares,0.9
Area Farmed in June,2018,Turnips,Northern and Western,000 Hectares,0.1
Area Farmed in June,2018,Turnips,Border,000 Hectares,0.0
Area Farmed in June,2018,Turnips,West,000 Hectares,0.1
Area Farmed in June,2018,Turnips,Southern,000 Hectares,0.4
Area Farmed in June,2018,Turnips,Mid-West,000 Hectares,0.0
Area Farmed in June,2018,Turnips,South-East,000 Hectares,0.3
Area Farmed in June,2018,Turnips,South-West,000 Hectares,0.1
Area Farmed in June,2018,Turnips,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2018,Turnips,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2018,Turnips,Midland,000 Hectares,0.1
Area Farmed in June,2018,Beet,State,000 Hectares,11.3
Area Farmed in June,2018,Beet,Northern and Western,000 Hectares,0.3
Area Farmed in June,2018,Beet,Border,000 Hectares,0.0
Area Farmed in June,2018,Beet,West,000 Hectares,0.3
Area Farmed in June,2018,Beet,Southern,000 Hectares,7.6
Area Farmed in June,2018,Beet,Mid-West,000 Hectares,0.7
Area Farmed in June,2018,Beet,South-East,000 Hectares,3.8
Area Farmed in June,2018,Beet,South-West,000 Hectares,3.0
Area Farmed in June,2018,Beet,Eastern and Midland,000 Hectares,3.4
Area Farmed in June,2018,Beet,Dublin and Mid-East,000 Hectares,1.7
Area Farmed in June,2018,Beet,Midland,000 Hectares,1.7
Area Farmed in June,2018,Vegetables for sale,State,000 Hectares,3.6
Area Farmed in June,2018,Vegetables for sale,Northern and Western,000 Hectares,0.1
Area Farmed in June,2018,Vegetables for sale,Border,000 Hectares,0.0
Area Farmed in June,2018,Vegetables for sale,West,000 Hectares,0.1
Area Farmed in June,2018,Vegetables for sale,Southern,000 Hectares,1.0
Area Farmed in June,2018,Vegetables for sale,Mid-West,000 Hectares,0.1
Area Farmed in June,2018,Vegetables for sale,South-East,000 Hectares,0.7
Area Farmed in June,2018,Vegetables for sale,South-West,000 Hectares,0.2
Area Farmed in June,2018,Vegetables for sale,Eastern and Midland,000 Hectares,2.4
Area Farmed in June,2018,Vegetables for sale,Dublin and Mid-East,000 Hectares,2.2
Area Farmed in June,2018,Vegetables for sale,Midland,000 Hectares,0.2
Area Farmed in June,2018,Fruit,State,000 Hectares,0.8
Area Farmed in June,2018,Fruit,Northern and Western,000 Hectares,0.0
Area Farmed in June,2018,Fruit,Border,000 Hectares,0.0
Area Farmed in June,2018,Fruit,West,000 Hectares,0.0
Area Farmed in June,2018,Fruit,Southern,000 Hectares,0.4
Area Farmed in June,2018,Fruit,Mid-West,000 Hectares,0.1
Area Farmed in June,2018,Fruit,South-East,000 Hectares,0.3
Area Farmed in June,2018,Fruit,South-West,000 Hectares,0.0
Area Farmed in June,2018,Fruit,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2018,Fruit,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2018,Fruit,Midland,000 Hectares,0.0
Area Farmed in June,2018,"Nurseries, horticulture etc.",State,000 Hectares,0.5
Area Farmed in June,2018,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,0.0
Area Farmed in June,2018,"Nurseries, horticulture etc.",Border,000 Hectares,0.0
Area Farmed in June,2018,"Nurseries, horticulture etc.",West,000 Hectares,0.0
Area Farmed in June,2018,"Nurseries, horticulture etc.",Southern,000 Hectares,0.4
Area Farmed in June,2018,"Nurseries, horticulture etc.",Mid-West,000 Hectares,0.1
Area Farmed in June,2018,"Nurseries, horticulture etc.",South-East,000 Hectares,0.2
Area Farmed in June,2018,"Nurseries, horticulture etc.",South-West,000 Hectares,0.1
Area Farmed in June,2018,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,0.1
Area Farmed in June,2018,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,0.1
Area Farmed in June,2018,"Nurseries, horticulture etc.",Midland,000 Hectares,0.0
Area Farmed in June,2018,Other crops,State,000 Hectares,28.4
Area Farmed in June,2018,Other crops,Northern and Western,000 Hectares,8.3
Area Farmed in June,2018,Other crops,Border,000 Hectares,3.1
Area Farmed in June,2018,Other crops,West,000 Hectares,5.1
Area Farmed in June,2018,Other crops,Southern,000 Hectares,11.0
Area Farmed in June,2018,Other crops,Mid-West,000 Hectares,2.6
Area Farmed in June,2018,Other crops,South-East,000 Hectares,5.5
Area Farmed in June,2018,Other crops,South-West,000 Hectares,2.9
Area Farmed in June,2018,Other crops,Eastern and Midland,000 Hectares,9.2
Area Farmed in June,2018,Other crops,Dublin and Mid-East,000 Hectares,5.2
Area Farmed in June,2018,Other crops,Midland,000 Hectares,4.0
Area Farmed in June,2018,Total cereals,State,000 Hectares,261.6
Area Farmed in June,2018,Total cereals,Northern and Western,000 Hectares,8.3
Area Farmed in June,2018,Total cereals,Border,000 Hectares,4.6
Area Farmed in June,2018,Total cereals,West,000 Hectares,3.6
Area Farmed in June,2018,Total cereals,Southern,000 Hectares,132.5
Area Farmed in June,2018,Total cereals,Mid-West,000 Hectares,20.9
Area Farmed in June,2018,Total cereals,South-East,000 Hectares,75.7
Area Farmed in June,2018,Total cereals,South-West,000 Hectares,36.0
Area Farmed in June,2018,Total cereals,Eastern and Midland,000 Hectares,120.8
Area Farmed in June,2018,Total cereals,Dublin and Mid-East,000 Hectares,92.8
Area Farmed in June,2018,Total cereals,Midland,000 Hectares,28.1
Area Farmed in June,2018,Total wheat,State,000 Hectares,58.0
Area Farmed in June,2018,Total wheat,Northern and Western,000 Hectares,0.7
Area Farmed in June,2018,Total wheat,Border,000 Hectares,0.6
Area Farmed in June,2018,Total wheat,West,000 Hectares,0.1
Area Farmed in June,2018,Total wheat,Southern,000 Hectares,18.7
Area Farmed in June,2018,Total wheat,Mid-West,000 Hectares,3.9
Area Farmed in June,2018,Total wheat,South-East,000 Hectares,10.1
Area Farmed in June,2018,Total wheat,South-West,000 Hectares,4.7
Area Farmed in June,2018,Total wheat,Eastern and Midland,000 Hectares,38.5
Area Farmed in June,2018,Total wheat,Dublin and Mid-East,000 Hectares,34.5
Area Farmed in June,2018,Total wheat,Midland,000 Hectares,4.0
